Type, Ligne,Identifiant de l'élément,Structure,Statut de l'élément,Nom base français,Nom attribut français,Nom frontière français,Code de la catégorie,Tags français,Unité français,Contributeur,Programme,Url du programme,Source,Localisation géographique,Sous-localisation géographique français,Date de création,Date de modification,Période de validité,Incertitude,Réglementations,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Type poste,Nom poste français,Total poste non décomposé,CO2f,CH4f,CH4b,N2O,Code gaz supplémentaire 1,Valeur gaz supplémentaire 1,Code gaz supplémentaire 2,Valeur gaz supplémentaire 2,Code gaz supplémentaire 3,Valeur gaz supplémentaire 3,Code gaz supplémentaire 4,Valeur gaz supplémentaire 4,Code gaz supplémentaire 5,Valeur gaz supplémentaire 5,Autres GES,CO2b
,Elément,21043,élément décomposé par poste et par gaz,Valide générique,Camion porteur,"déménagement, 45m³",,Transport de marchandises > Routier > Déménagement,"fret routier, poids lourd, PL, déménagement, camion, porteur",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,0.961,0.934,0.014,0,0.0132,,,,,,,,,,,0,0
,Poste,21043,élément décomposé par poste et par gaz,Valide générique,Camion porteur,"déménagement, 45m³",,Transport de marchandises > Routier > Déménagement,"fret routier, poids lourd, PL, déménagement, camion, porteur",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,gazole,0.679,0.674,3.03E-4,0,5.41E-3,,,,,,,,,,,0,0.0392
,Poste,21043,élément décomposé par poste et par gaz,Valide générique,Camion porteur,"déménagement, 45m³",,Transport de marchandises > Routier > Déménagement,"fret routier, poids lourd, PL, déménagement, camion, porteur",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,gazole,0.177,0.156,0.0137,0,7.76E-3,,,,,,,,,,,0,-0.0392
,Poste,21043,élément décomposé par poste et par gaz,Valide générique,Camion porteur,"déménagement, 45m³",,Transport de marchandises > Routier > Déménagement,"fret routier, poids lourd, PL, déménagement, camion, porteur",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Fabrication,véhicule,0.105,0.105,0,0,0,,,,,,,,,,,0,0
,Elément,21044,élément décomposé par poste et par gaz,Valide générique,Ensemble articulé,"citerne, PTRA 40T",,Transport de marchandises > Routier > Spéciaux,"fret routier, poids lourd, PL, ensemble articulé, camion citerne",kgCO2e/tonne.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,0.0984,0.0955,1.46E-3,0,1.38E-3,,,,,,,,,,,0,0
,Poste,21044,élément décomposé par poste et par gaz,Valide générique,Ensemble articulé,"citerne, PTRA 40T",,Transport de marchandises > Routier > Spéciaux,"fret routier, poids lourd, PL, ensemble articulé, camion citerne",kgCO2e/tonne.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,gazole,0.071,0.0704,3.18E-5,0,5.67E-4,,,,,,,,,,,0,4.10E-3
,Poste,21044,élément décomposé par poste et par gaz,Valide générique,Ensemble articulé,"citerne, PTRA 40T",,Transport de marchandises > Routier > Spéciaux,"fret routier, poids lourd, PL, ensemble articulé, camion citerne",kgCO2e/tonne.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,gazole,0.0185,0.0163,1.43E-3,0,8.11E-4,,,,,,,,,,,0,-4.10E-3
,Poste,21044,élément décomposé par poste et par gaz,Valide générique,Ensemble articulé,"citerne, PTRA 40T",,Transport de marchandises > Routier > Spéciaux,"fret routier, poids lourd, PL, ensemble articulé, camion citerne",kgCO2e/tonne.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Fabrication,véhicule,8.80E-3,8.80E-3,0,0,0,,,,,,,,,,,0,0
,Elément,21045,élément décomposé par poste et par gaz,Valide générique,Ensemble articulé,"chassis porte conteneur, PTRA 40T",,Transport de marchandises > Routier > Spéciaux,"fret routier, poids lourd, PL, ensemble articulé, camion porte conteneur",kgCO2e/tonne.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,0.103,0.1,1.54E-3,0,1.46E-3,,,,,,,,,,,0,0
,Poste,21045,élément décomposé par poste et par gaz,Valide générique,Ensemble articulé,"chassis porte conteneur, PTRA 40T",,Transport de marchandises > Routier > Spéciaux,"fret routier, poids lourd, PL, ensemble articulé, camion porte conteneur",kgCO2e/tonne.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,gazole,0.0751,0.0744,3.36E-5,0,5.99E-4,,,,,,,,,,,0,4.33E-3
