Type Ligne,Structure,Identifiant de l'élément,Statut de l'élément,Unité français,Nom base français,Nom attribut français,Nom frontière français,Electricité > Mix réseau électrique > Autres pays du monde,Tags français,Localisation géographique,Sous-localisation géographique français,Date de création,Date de modification,Période de validité,Incertitude,Réglementations,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Type poste,Nom poste français,Total poste non décomposé,CO2f,CH4f,CH4b,N2O
Elément,élément décomposé par poste et par gaz,15573,Valide générique,kgCO2e/kWh,Électricité,mix moyen,consommation,Electricité > Mix réseau électrique > Outre mer,Electricité France outre mer,Outre-mer,St Martin,Novembre 2014,Septembre 2018,déc-17,15%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,"0,819","0,81","0,00115",0,"0,0038"
Poste,élément décomposé par poste et par gaz,15573,Valide générique,kgCO2e/kWh,Électricité,mix moyen,consommation,Electricité > Mix réseau électrique > Outre mer,Electricité France outre mer,Outre-mer,St Martin,Novembre 2014,Septembre 2018,déc-17,15%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion à la centrale,,"0,718","0,713","0,00115",0,"0,0038"
Poste,élément décomposé par poste et par gaz,15573,Valide générique,kgCO2e/kWh,Électricité,mix moyen,consommation,Electricité > Mix réseau électrique > Outre mer,Electricité France outre mer,Outre-mer,St Martin,Novembre 2014,Septembre 2018,déc-17,15%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Emissions fugitives,Perte SF6 des transformateurs,"0,00433",0,0,0,0
Poste,élément décomposé par poste et par gaz,15573,Valide générique,kgCO2e/kWh,Électricité,mix moyen,consommation,Electricité > Mix réseau électrique > Outre mer,Electricité France outre mer,Outre-mer,St Martin,Novembre 2014,Septembre 2018,déc-17,15%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,Amont des combustibles et amortissement centrale,"0,0972","0,0972",0,0,0
Elément,élément décomposé par poste et par gaz,15574,Valide générique,kgCO2e/kWh,Électricité,mix moyen,consommation,Electricité > Mix réseau électrique > Outre mer,Electricité France outre mer,Outre-mer,St Barthélémy,Novembre 2014,Septembre 2018,déc.-18,15%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,"0,859","0,849","0,0012",0,"0,00398"
Poste,élément décomposé par poste et par gaz,15574,Valide générique,kgCO2e/kWh,Électricité,mix moyen,consommation,Electricité > Mix réseau électrique > Outre mer,Electricité France outre mer,Outre-mer,St Barthélémy,Novembre 2014,Septembre 2018,déc.-18,15%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion à la centrale,,"0,752","0,747","0,0012",0,"0,00398"
Poste,élément décomposé par poste et par gaz,15574,Valide générique,kgCO2e/kWh,Électricité,mix moyen,consommation,Electricité > Mix réseau électrique > Outre mer,Electricité France outre mer,Outre-mer,St Barthélémy,Novembre 2014,Septembre 2018,déc.-18,15%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Transport et distribution,Perte SF6 des transformateurs,"0,00509",0,0,0,0
Poste,élément décomposé par poste et par gaz,15574,Valide générique,kgCO2e/kWh,Électricité,mix moyen,consommation,Electricité > Mix réseau électrique > Outre mer,Electricité France outre mer,Outre-mer,St Barthélémy,Novembre 2014,Septembre 2018,déc.-18,15%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,Amont des combustibles et amortissement centrale,"0,102","0,102",0,0,0
Elément,élément non décomposé,15576,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,,"Electricité hors France, Canada",Autre pays du monde,Canada,Novembre 2014,Novembre 2014,déc-17,10%,,,,,,,,,,,,,"0,186",,,,
Elément,élément non décomposé,15577,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Chili",Autre pays du monde,Chili,Novembre 2014,Novembre 2014,déc-17,10%,,,,,,,,,,,,,"0,41",,,,
Elément,élément non décomposé,15578,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Mexique",Autre pays du monde,Mexique,Novembre 2014,Novembre 2014,déc-17,10%,,,,,,,,,,,,,"0,455",,,,
