Type,Ligne,Identifiant de l'élément,Structure,Statut de l'élément,Nom base français,Nom attribut français,Nom frontière français,Code de la catégorie,Tags français,Unité français,Contributeur,Programme,Url du programme,Source,Localisation géographique,Sous-localisation géographique français,Date de création,Date de modification,Période de validité,Incertitude,Réglementations,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Type poste,Nom poste français,Total poste non décomposé,CO2f,CH4f,CH4b,N2O,Code gaz supplémentaire 1,Valeur gaz supplémentaire 1,Code gaz supplémentaire 2,Valeur gaz supplémentaire 2,Code gaz supplémentaire 3,Valeur gaz supplémentaire 3,Code gaz supplémentaire 4,Valeur gaz supplémentaire 4,Code gaz supplémentaire 5,Valeur gaz supplémentaire 5,Autres GES,CO2b
,Poste,21546,élément décomposé par poste et par gaz,Valide générique,Taxi brousse,véhicule plein,,Transport de personnes > Routier > Taxi > DOM COM,"transport de personne routier, taxi brousse",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,Outre-mer,Mayotte,Novembre 2014,Novembre 2014,Décembre 2017,20%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,gazole / essence,0.49,0.49,0,0,0,,,,,,,,,,,0,0
,Poste,21546,élément décomposé par poste et par gaz,Valide générique,Taxi brousse,véhicule plein,,Transport de personnes > Routier > Taxi > DOM COM,"transport de personne routier, taxi brousse",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,Outre-mer,Mayotte,Novembre 2014,Novembre 2014,Décembre 2017,20%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,gazole / essence,0.0629,0.0629,0,0,0,,,,,,,,,,,0,0
,Elément,21547,élément décomposé par poste et par gaz,Valide générique,Taxi brousse,,,Transport de personnes > Routier > Taxi > DOM COM,"transport de personne routier, taxi brousse",kgCO2e/passager.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,Outre-mer,Mayotte,Novembre 2014,Novembre 2014,Décembre 2017,20%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,0.0359,0.0359,0,0,0,,,,,,,,,,,0,0
,Poste,21547,élément décomposé par poste et par gaz,Valide générique,Taxi brousse,,,Transport de personnes > Routier > Taxi > DOM COM,"transport de personne routier, taxi brousse",kgCO2e/passager.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,Outre-mer,Mayotte,Novembre 2014,Novembre 2014,Décembre 2017,20%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,gazole / essence,0.0318,0.0318,0,0,0,,,,,,,,,,,0,0
,Poste,21547,élément décomposé par poste et par gaz,Valide générique,Taxi brousse,,,Transport de personnes > Routier > Taxi > DOM COM,"transport de personne routier, taxi brousse",kgCO2e/passager.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,Outre-mer,Mayotte,Novembre 2014,Novembre 2014,Décembre 2017,20%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,gazole / essence,4.08E-3,4.08E-3,0,0,0,,,,,,,,,,,0,0
,Elément,21593,élément décomposé par poste et par gaz,Valide générique,Autobus,agglomérations de plus de 250 000 habitants,,Transport de personnes > Routier > Autobus,"transport de personne routier, autobus",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Decembre 2014,Décembre 2017,60%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,1.73,1.67,0.0396,0,0.0251,,,,,,,,,,,0,0
,Poste,21593,élément décomposé par poste et par gaz,Valide générique,Autobus,agglomérations de plus de 250 000 habitants,,Transport de personnes > Routier > Autobus,"transport de personne routier, autobus",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Decembre 2014,Décembre 2017,60%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,gazole / GNV,1.38,1.37,1.12E-3,0,0.0119,,,,,,,,,,,0,0.0668
,Poste,21593,élément décomposé par poste et par gaz,Valide générique,Autobus,agglomérations de plus de 250 000 habitants,,Transport de personnes > Routier > Autobus,"transport de personne routier, autobus",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Decembre 2014,Décembre 2017,60%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,gazole / GNV,0.349,0.297,0.0385,0,0.0132,,,,,,,,,,,0,-0.0668
,Elément,21594,élément décomposé par poste et par gaz,Valide générique,Autobus,agglomérations de plus de 250 000 habitants,,Transport de personnes > Routier > Autobus,"transport de personne routier, autobus",kgCO2e/passager.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Decembre 2014,Décembre 2017,60%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,0.154,0.148,3.52E-3,0,2.23E-3,,,,,,,,,,,0,0
,Poste,21594,élément décomposé par poste et par gaz,Valide générique,Autobus,agglomérations de plus de 250 000 habitants,,Transport de personnes > Routier > Autobus,"transport de personne routier, autobus",kgCO2e/passager.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Decembre 2014,Décembre 2017,60%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,gazole / GNV,0.123,0.122,9.96E-5,0,1.06E-3,,,,,,,,,,,0,5.94E-3
