Type Ligne,Structure,Identifiant de l'élément,Statut de l'élément,Unité français,Nom base français,Nom attribut français,Nom frontière français,Code de la catégorie,Tags français,Localisation géographique,Sous-localisation géographique français,Date de création,Date de modification,Période de validité,Incertitude,Réglementations,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Type poste,Nom poste français,Total poste non décomposé,CO2f,CH4f,CH4b,N2O
Elément,élément décomposé par poste et par gaz,13851,Valide générique,kgCO2e/kg,"GNL, Gaz Naturel Liquéfié","(inclus routier, maritime et fluvial)",,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier,"combustible liquide, GNL, gaz naturel liquéfié, Info GES",France continentale,France continentale,octobre 2014,novembre 2014,décembre 2024,5%,"Données de l'article L229-25 de la loi TECV, Données de l'article L1431.3 du code des transports",,,,,,,,,,,,"3,51","3,28","0,195",0,"0,0329"
Poste,élément décomposé par poste et par gaz,13851,Valide générique,kgCO2e/kg,"GNL, Gaz Naturel Liquéfié","(inclus routier, maritime et fluvial)",,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier,"combustible liquide, GNL, gaz naturel liquéfié, Info GES",France continentale,France continentale,octobre 2014,novembre 2014,décembre 2024,5%,"Données de l'article L229-25 de la loi TECV, Données de l'article L1431.3 du code des transports",,,,,,,,,,Combustion,,"2,81","2,77","0,00744",0,"0,0329"
Poste,élément décomposé par poste et par gaz,13851,Valide générique,kgCO2e/kg,"GNL, Gaz Naturel Liquéfié","(inclus routier, maritime et fluvial)",,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier,"combustible liquide, GNL, gaz naturel liquéfié, Info GES",France continentale,France continentale,octobre 2014,novembre 2014,décembre 2024,5%,"Données de l'article L229-25 de la loi TECV, Données de l'article L1431.3 du code des transports",,,,,,,,,,Amont,,"0,704","0,517","0,187",0,0
Elément,élément non décomposé,9370,Valide générique,GJ / tonne,Gaz de cokerie,PCI,,Combustibles > Caractéristiques physiques > PCI - Pouvoir Calorifique Inférieur,,Europe,Europe,octobre 2014,octobre 2014,décembre 2017,5%,,,,,,,,,,,,,"38,7",,,,
Elément,élément non décomposé,9393,Valide générique,GJ / tonne,Gaz de cokerie,PCI,,Combustibles > Caractéristiques physiques > PCI - Pouvoir Calorifique Inférieur,,France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,5%,,,,,,,,,,,,,"31,5",,,,
Elément,élément non décomposé,9371,Valide générique,GJ / tonne,Gaz de haut fourneau,PCI,,Combustibles > Caractéristiques physiques > PCI - Pouvoir Calorifique Inférieur,,France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,5%,,,,,,,,,,,,,"2,3",,,,
Elément,élément non décomposé,9397,Valide générique,GJ / tonne,Gaz de haut fourneau,PCI,,Combustibles > Caractéristiques physiques > PCI - Pouvoir Calorifique Inférieur,,Europe,Europe,octobre 2014,octobre 2014,décembre 2017,5%,,,,,,,,,,,,,"2,5",,,,
Elément,élément décomposé par poste et par gaz,26621,Valide générique,kgCO2e/kWh PCI,Gaz naturel - 2015,mix moyen,consommation,Combustibles > Fossiles > Gazeux > Gaz naturel,"combustible gazeux, Gaz naturel",France continentale,France,février 2018,,septembre 2024,5%,Données de l'article L229-25 de la loi TECV,3.5/4,4.5/4,Bonne,Très bonne,Très bonne,Bonne,Bonne,Bonne,<p>Combustion d'1kWh PCI de gaz du mix français (Rendement de combustion : 100%). Attention les factures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !</p>,,,"0,227","0,211","0,00341","0,000014","0,000742"
Poste,élément décomposé par poste et par gaz,26621,Valide générique,kgCO2e/kWh PCI,Gaz naturel - 2015,mix moyen,consommation,Combustibles > Fossiles > Gazeux > Gaz naturel,"combustible gazeux, Gaz naturel",France continentale,France,février 2018,,septembre 2024,5%,Données de l'article L229-25 de la loi TECV,3.5/4,4.5/4,Bonne,Très bonne,Très bonne,Bonne,Bonne,Bonne,<p>Combustion d'1kWh PCI de gaz du mix français (Rendement de combustion : 100%). Attention les factures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !</p>,Combustion,,"0,187","0,187",0,0,"0,000477"
Poste,élément décomposé par poste et par gaz,26621,Valide générique,kgCO2e/kWh PCI,Gaz naturel - 2015,mix moyen,consommation,Combustibles > Fossiles > Gazeux > Gaz naturel,"combustible gazeux, Gaz naturel",France continentale,France,février 2018,,septembre 2024,5%,Données de l'article L229-25 de la loi TECV,3.5/4,4.5/4,Bonne,Très bonne,Très bonne,Bonne,Bonne,Bonne,<p>Combustion d'1kWh PCI de gaz du mix français (Rendement de combustion : 100%). Attention les factures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !</p>,Amont,,"0,0397","0,0237","0,00341","0,000014","0,000265"
Elément,élément décomposé par poste et par gaz,14225,Valide générique,kgCO2e/kg,Granulés bois,8% d'humidité,,Combustibles > Organiques > Solides,"biocombustible, bois, granulés de bois, pellets",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,50%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,"0,111","0,0459","0,0138","0,0511",0
Poste,élément décomposé par poste et par gaz,14225,Valide générique,kgCO2e/kg,Granulés bois,8% d'humidité,,Combustibles > Organiques > Solides,"biocombustible, bois, granulés de bois, pellets",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,50%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,,"0,0511",0,0,"0,0511",0
Poste,élément décomposé par poste et par gaz,14225,Valide générique,kgCO2e/kg,Granulés bois,8% d'humidité,,Combustibles > Organiques > Solides,"biocombustible, bois, granulés de bois, pellets",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,50%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,,"0,0597","0,0459","0,0138",0,0
Elément,élément décomposé par poste et par gaz,14034,Valide générique,kgCO2e/kg,HFO (Heavy Fuel Oil),ISO 8217 classes RME à RMK,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage maritime et fluvial,"combustible liquide, HFO (heavy fuel oil), Info GES",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2024,5%,"Données de l'article L229-25 de la loi TECV, Données de l'article L1431.3 du code des transports",,,,,,,,,,,,"3,64","3,58","0,0465",0,"0,0186"
Poste,élément décomposé par poste et par gaz,14034,Valide générique,kgCO2e/kg,HFO (Heavy Fuel Oil),ISO 8217 classes RME à RMK,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage maritime et fluvial,"combustible liquide, HFO (heavy fuel oil), Info GES",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2024,5%,"Données de l'article L229-25 de la loi TECV, Données de l'article L1431.3 du code des transports",,,,,,,,,,Combustion,,"3,14","3,12","0,0024",0,"0,0186"
Poste,élément décomposé par poste et par gaz,14034,Valide générique,kgCO2e/kg,HFO (Heavy Fuel Oil),ISO 8217 classes RME à RMK,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage maritime et fluvial,"combustible liquide, HFO (heavy fuel oil), Info GES",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2024,5%,"Données de l'article L229-25 de la loi TECV, Données de l'article L1431.3 du code des transports",,,,,,,,,,Amont,,"0,503","0,459","0,0441",0,0
