Type Ligne,Structure,Identifiant de l'élément,Statut de l'élément,Unité français,Nom base français,Nom attribut français,Nom frontière français,Code de la catégorie,Tags français,Localisation géographique,Sous-localisation géographique français,Date de création,Date de modification,Période de validité,Incertitude,Réglementations,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Type poste,Nom poste français,Total poste non décomposé,CO2f,CH4f,CH4b,N2O
Poste,élément décomposé par poste et par gaz,14222,Valide générique,kgCO2e/kg,Plaquettes forestières,25% d'humidité,,Combustibles > Organiques > Solides,"biocombustible, bois, plaquettes forestières",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,50%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,,"0,0482",0,0,"0,0482",0
Poste,élément décomposé par poste et par gaz,14222,Valide générique,kgCO2e/kg,Plaquettes forestières,25% d'humidité,,Combustibles > Organiques > Solides,"biocombustible, bois, plaquettes forestières",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,50%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,,"0,0407","0,0313","0,0094",0,0
Elément,élément décomposé par poste et par gaz,13555,Valide générique,kgCO2e/kg,Propane,inclus maritime,,Combustibles > Fossiles > Gazeux > Propane et butane,"Propane, combustible liquide",Europe,Europe,octobre 2014,octobre 2014,décembre 2017,5%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,"3,52","3,34","0,145",0,"0,0313"
Poste,élément décomposé par poste et par gaz,13555,Valide générique,kgCO2e/kg,Propane,inclus maritime,,Combustibles > Fossiles > Gazeux > Propane et butane,"Propane, combustible liquide",Europe,Europe,octobre 2014,octobre 2014,décembre 2017,5%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,,"3,02","2,98","0,00432",0,"0,0313"
Poste,élément décomposé par poste et par gaz,13555,Valide générique,kgCO2e/kg,Propane,inclus maritime,,Combustibles > Fossiles > Gazeux > Propane et butane,"Propane, combustible liquide",Europe,Europe,octobre 2014,octobre 2014,décembre 2017,5%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,,"0,5","0,359","0,141",0,0
Elément,élément décomposé par poste et par gaz,13556,Valide générique,kgCO2e/kg,Propane,inclus maritime,,Combustibles > Fossiles > Gazeux > Propane et butane,"Propane, combustible liquide, Info GES",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2024,5%,"Données de l'article L229-25 de la loi TECV, Données de l'EU Emissions Trading System (EU ETS), Données de l'article L1431.3 du code des transports",,,,,,,,,,,,"3,47","3,29","0,141",0,"0,0305"
Poste,élément décomposé par poste et par gaz,13556,Valide générique,kgCO2e/kg,Propane,inclus maritime,,Combustibles > Fossiles > Gazeux > Propane et butane,"Propane, combustible liquide, Info GES",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2024,5%,"Données de l'article L229-25 de la loi TECV, Données de l'EU Emissions Trading System (EU ETS), Données de l'article L1431.3 du code des transports",,,,,,,,,,Combustion,,"2,98","2,94","0,0042",0,"0,0305"
Poste,élément décomposé par poste et par gaz,13556,Valide générique,kgCO2e/kg,Propane,inclus maritime,,Combustibles > Fossiles > Gazeux > Propane et butane,"Propane, combustible liquide, Info GES",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2024,5%,"Données de l'article L229-25 de la loi TECV, Données de l'EU Emissions Trading System (EU ETS), Données de l'article L1431.3 du code des transports",,,,,,,,,,Amont,,"0,487","0,35","0,137",0,0
Elément,élément non décomposé,9398,Valide générique,GJ / tonne,Pétrole brut,PCI,,Combustibles > Caractéristiques physiques > PCI - Pouvoir Calorifique Inférieur,,Europe,Europe,octobre 2014,octobre 2014,décembre 2017,5%,,,,,,,,,,,,,"42,3",,,,
Elément,élément non décomposé,9401,Valide générique,GJ / tonne,Pétrole brut,PCI,,Combustibles > Caractéristiques physiques > PCI - Pouvoir Calorifique Inférieur,,France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,5%,,,,,,,,,,,,,42,,,,
Elément,élément décomposé par poste et par gaz,14228,Valide générique,kgCO2e/kg,Sciures et chutes de scieries,50% d'humidité,,Combustibles > Organiques > Solides,"biocombustible, bois, déchets bois connexes des scieries, écorces, sciures",France continentale,France continentale,octobre 2014,septembre 2017,décembre 2017,50%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,"0,00503","0,00341","0,00117","0,000448",0
Poste,élément décomposé par poste et par gaz,14228,Valide générique,kgCO2e/kg,Sciures et chutes de scieries,50% d'humidité,,Combustibles > Organiques > Solides,"biocombustible, bois, déchets bois connexes des scieries, écorces, sciures",France continentale,France continentale,octobre 2014,septembre 2017,décembre 2017,50%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,,"0,000448",0,0,"0,000448",0
Poste,élément décomposé par poste et par gaz,14228,Valide générique,kgCO2e/kg,Sciures et chutes de scieries,50% d'humidité,,Combustibles > Organiques > Solides,"biocombustible, bois, déchets bois connexes des scieries, écorces, sciures",France continentale,France continentale,octobre 2014,septembre 2017,décembre 2017,50%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,,"0,00458","0,00341","0,00117",0,0
