Type Ligne,Identifiant de l'élément,Structure,Statut de l'élément,Nom base français,Nom attribut français,Nom frontière français,Code de la catégorie,Tags français,Unité français,Contributeur,Programme,Url du programme,Source,Localisation géographique,Sous-localisation géographique français,Date de création,Date de modification,Période de validité,Incertitude,Réglementations,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Type poste,Nom poste français,Total poste non décomposé,CO2f,CH4f,CH4b,N2O,Code gaz supplémentaire 1,Valeur gaz supplémentaire 1,Code gaz supplémentaire 2,Valeur gaz supplémentaire 2,Code gaz supplémentaire 3,Valeur gaz supplémentaire 3,Code gaz supplémentaire 4,Valeur gaz supplémentaire 4,Code gaz supplémentaire 5,Valeur gaz supplémentaire 5,Autres GES,CO2b
Elément,20626,élément non décomposé,Valide générique,"Plongée, bouteille",,,Achats de biens > Autres produits manufacturés > Articles de sport,"sport, bouteille de plongée",kgCO2e/litre,ADEME,,,,Monde,Monde,Novembre 2014,Août 2016,déc.-19,20%,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,,
Elément,20627,élément non décomposé,Valide générique,"Sport d'hiver, snowboard",,,Achats de biens > Autres produits manufacturés > Articles de sport,"sport, sport d'hiver, snowboard",kgCO2e/appareil,ADEME,,,,Monde,Monde,Novembre 2014,Août 2016,déc.-19,30%,,,,,,,,,,,,,8.6,,,,,,,,,,,,,,,,
Elément,20628,élément non décomposé,Valide générique,"Sport d'hiver, paire de skis",,,Achats de biens > Autres produits manufacturés > Articles de sport,"sport, sport d'hiver, skis",kgCO2e/appareil,ADEME,,,,Monde,Monde,Novembre 2014,Août 2016,déc.-19,80%,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,
Elément,20629,élément non décomposé,Valide générique,"Sport d'hiver, casque de skis",,,Achats de biens > Autres produits manufacturés > Articles de sport,"sport, sport d'hiver, casque",kgCO2e/appareil,ADEME,,,,Monde,Monde,Novembre 2014,Août 2016,déc.-19,80%,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,
Elément,20630,élément non décomposé,Valide générique,"Tennis, balle",,,Achats de biens > Autres produits manufacturés > Articles de sport,"sport, tennis, balle",kgCO2e/appareil,ADEME,,,,Monde,Monde,Novembre 2014,Août 2016,déc.-19,25%,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,
Elément,20632,élément non décomposé,Valide générique,"Volley, genouillères",,,Achats de biens > Autres produits manufacturés > Articles de sport,"sport, volley, genouillères",kgCO2e/appareil,ADEME,,,,Monde,Monde,Novembre 2014,Août 2016,déc.-19,50%,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,
Elément,20633,élément non décomposé,Valide générique,"Sport nautique, planche à voile",,,Achats de biens > Autres produits manufacturés > Articles de sport,"sport, sport nautique, planche à voile",kgCO2e/appareil,ADEME,,,,Monde,Monde,Novembre 2014,Août 2016,déc.-19,30%,,,,,,,,,,,,,220,,,,,,,,,,,,,,,,
Elément,20634,élément non décomposé,Valide générique,"Tout sport, maillot",,,Achats de biens > Autres produits manufacturés > Articles de sport,"sport, maillot",kgCO2e/appareil,ADEME,,,,Monde,Monde,Novembre 2014,Août 2016,déc.-19,50%,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Elément,20635,élément non décomposé,Valide générique,"Tout sport, short",,,Achats de biens > Autres produits manufacturés > Articles de sport,"sport, short",kgCO2e/appareil,ADEME,,,,Monde,Monde,Novembre 2014,Août 2016,déc.-19,50%,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,
Elément,20640,élément non décomposé,Valide générique,"Basket, panier extérieur avec socle en béton",extérieur avec socle en béton,,Achats de biens > Autres produits manufacturés > Articles de sport,"sport, basket, panier",kgCO2e/appareil,ADEME,,,,France continentale,France continentale,Novembre 2014,Août 2016,déc.-19,100%,,,,,,,,,,,,,1900,,,,,,,,,,,,,,,,
Elément,20690,élément non décomposé,Valide générique,"Mur, béton",maçonnerie de blocs en béton,,Achats de biens > Produits minéraux non métalliques > Matériaux de construction,"matériaux de construction, mur, béton",kgCO2e/m²,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,10%,,,,,,,,,,,,,11.1,,,,,,,,,,,,,,,,
Elément,20691,élément non décomposé,Valide générique,Poutrelle en béton,,,Achats de biens > Produits minéraux non métalliques > Matériaux de construction,"matériaux de construction, béton, poutrelle",kgCO2e/mL,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,10%,,,,,,,,,,,,,3.22,,,,,,,,,,,,,,,,
Elément,20697,élément non décomposé,Valide générique,Canalisations PVC,,,Achats de biens > Produits minéraux non métalliques > Matériaux de construction,"matériaux de construction, PVC, canalisation",kgCO2e/mL,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,10%,,,,,,,,,,,,,2.47,,,,,,,,,,,,,,,,
Elément,20698,élément non décomposé,Valide générique,Panneau de plafond suspendu,,,Achats de biens > Produits minéraux non métalliques > Matériaux de construction,"matériaux de construction, plafond",kgCO2e/m²,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,10%,,,,,,,,,,,,,3.95,,,,,,,,,,,,,,,,
Elément,20699,élément non décomposé,Valide générique,Monomur terre cuite,,,Achats de biens > Produits minéraux non métalliques > Matériaux de construction,"matériaux de construction, mur, terre cuite",kgCO2e/m²,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,10%,,,,,,,,,,,,,44.3,,,,,,,,,,,,,,,,
Elément,20703,élément non décomposé,Valide générique,Recyclage en place à chaud (REC),,,Achats de biens > Produits minéraux non métalliques > Matériaux de construction,matériaux de construction,kgCO2e/tonne,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,20%,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,
Elément,20704,élément non décomposé,Valide générique,Recyclage en place à l'émulsion,,,Achats de biens > Produits minéraux non métalliques > Matériaux de construction,matériaux de construction,kgCO2e/tonne,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,20%,,,,,,,,,,,,,10.5,,,,,,,,,,,,,,,,
Elément,20705,élément non décomposé,Valide générique,Enrobés bitumineux,,,Achats de biens > Produits minéraux non métalliques > Enrobés pour la route,"matériaux de construction, route, enrobés routiers",kgCO2e/tonne,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,20%,,,,,,,,,,,,,53.3,,,,,,,,,,,,,,,,
Elément,20706,élément non décomposé,Valide générique,Enrobé,à module élevé,,Achats de biens > Produits minéraux non métalliques > Enrobés pour la route,"matériaux de construction, route, enrobés routiers",kgCO2e/tonne,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,20%,,,,,,,,,,,,,55.1,,,,,,,,,,,,,,,,
Elément,20707,élément non décomposé,Valide générique,Enrobé,tiède,,Achats de biens > Produits minéraux non métalliques > Enrobés pour la route,"matériaux de construction, route, enrobés routiers",kgCO2e/tonne,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,20%,,,,,,,,,,,,,52.8,,,,,,,,,,,,,,,,
Elément,20708,élément non décomposé,Valide générique,Enrobés bitumineux,à froid,,Achats de biens > Produits minéraux non métalliques > Enrobés pour la route,"matériaux de construction, route, enrobés routiers",kgCO2e/tonne,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,20%,,,,,,,,,,,,,36.2,,,,,,,,,,,,,,,,
Elément,20709,élément non décomposé,Valide générique,"Granulat, grave",ciment,,Achats de biens > Produits minéraux non métalliques > Enrobés pour la route,"matériaux de construction, route, enrobés routiers, granulat",kgCO2e/tonne,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,20%,,,,,,,,,,,,,50.6,,,,,,,,,,,,,,,,
Elément,20710,élément non décomposé,Valide générique,Béton de ciment,routier,,Achats de biens > Produits minéraux non métalliques > Enrobés pour la route,"matériaux de construction, béton, route, enrobés routiers",kgCO2e/tonne,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,20%,,,,,,,,,,,,,134,,,,,,,,,,,,,,,,
Elément,20711,élément non décomposé,Valide générique,Béton armé continu,routier,,Achats de biens > Produits minéraux non métalliques > Enrobés pour la route,"matériaux de construction, béton, route, enrobés routiers",kgCO2e/tonne,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,20%,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,
Elément,20712,élément non décomposé,Valide générique,Sol traité liant routier,,,Achats de biens > Produits minéraux non métalliques > Enrobés pour la route,"matériaux de construction, route, enrobés routiers",kgCO2e/tonne,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,20%,,,,,,,,,,,,,13.6,,,,,,,,,,,,,,,,
Elément,20713,élément non décomposé,Valide générique,Enrobés bitumineux,avec 10% REC,,Achats de biens > Produits minéraux non métalliques > Enrobés pour la route,"matériaux de construction, route, enrobés routiers",kgCO2e/tonne,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,20%,,,,,,,,,,,,,51.1,,,,,,,,,,,,,,,,
